participant,role,ai_experience,aiact_familiarity,seniority,locale,arm,condition,set,pair,item,completed,verdict,client_seconds,server_seconds
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,3,Q3B,no,wrong,34.0,34.4
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,4,Q4B,no,wrong,13.0,13.2
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,5,Q5B,no,wrong,24.0,24.1
P16,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,6,Q6B,no,wrong,41.0,41.6
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,1,Q1A,no,wrong,266.0,266.6
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,2,Q2A,yes,correct,137.0,137.5
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,3,Q3A,yes,correct,51.0,51.5
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,4,Q4A,yes,correct,50.0,50.4
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,5,Q5A,no,wrong,227.0,227.2
P17,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,6,Q6A,yes,unverified,89.0,90.3
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,55.0,55.4
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,2,Q2B,yes,correct,34.0,34.7
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,3,Q3B,yes,correct,30.0,30.2
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,4,Q4B,no,wrong,15.0,15.1
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,27.0,27.9
P17,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,6,Q6B,yes,unverified,20.0,20.3
P18,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,1,Q1B,no,gave_up,78.0,78.8
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,1,Q1A,no,wrong,104.0,104.8
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,2,Q2A,yes,correct,104.0,106.4
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,3,Q3A,yes,correct,107.0,107.5
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,4,Q4A,no,wrong,25.0,25.6
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,5,Q5A,no,wrong,153.0,153.6
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,baseline,A,6,Q6A,no,wrong,100.0,102.1
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,94.0,94.4
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,2,Q2B,yes,correct,54.0,54.9
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,3,Q3B,yes,correct,26.0,26.2
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,4,Q4B,yes,correct,39.0,39.6
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,48.0,48.5
P19,ai_researcher,reviewer,heard,lt2,en,alpha_first,vera,B,6,Q6B,no,wrong,135.0,135.3
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,1,Q1B,no,timeout,300.0,300.7
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,2,Q2B,no,timeout,300.0,301.2
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,3,Q3B,no,wrong,66.0,66.6
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,4,Q4B,no,wrong,17.0,17.4
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,5,Q5B,yes,correct,84.0,85.1
P20,ai_researcher,builder,working,2to5,en,beta_first,baseline,B,6,Q6B,no,wrong,43.0,43.2
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,1,Q1A,no,wrong,6.0,6.6
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,2,Q2A,yes,correct,54.0,54.8
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,3,Q3A,yes,correct,45.0,45.6
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,4,Q4A,yes,correct,58.0,58.6
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,5,Q5A,no,wrong,152.0,152.2
P21,ai_researcher,builder,heard,2to5,en,alpha_first,baseline,A,6,Q6A,yes,unverified,42.0,42.4
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,1,Q1B,yes,correct,63.0,63.7
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,2,Q2B,yes,correct,87.0,87.4
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,3,Q3B,yes,correct,30.0,39.6
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,4,Q4B,no,wrong,58.0,58.2
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,5,Q5B,yes,correct,42.0,42.8
P21,ai_researcher,builder,heard,2to5,en,alpha_first,vera,B,6,Q6B,yes,unverified,30.0,30.0
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,1,Q1B,no,wrong,28.0,29.9
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,2,Q2B,no,wrong,180.0,183.2
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,3,Q3B,no,gave_up,2.0,6.5
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,4,Q4B,no,gave_up,3.0,8.3
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,5,Q5B,no,gave_up,8.0,13.4
P24,ai_researcher,reviewer,heard,6to10,en,beta_first,baseline,B,6,Q6B,no,gave_up,18.0,25.2
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,1,Q1A,no,wrong,13.0,13.6
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,2,Q2A,no,gave_up,15.0,15.2
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,3,Q3A,no,wrong,4.0,4.4
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,4,Q4A,yes,correct,22.0,22.1
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,5,Q5A,no,gave_up,3.0,3.7
P25,other_non_ml,none,none,lt2,en,alpha_first,baseline,A,6,Q6A,no,gave_up,4.0,4.7
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,4.0,4.7
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,2,Q2B,no,gave_up,2.0,2.5
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,3,Q3B,no,wrong,2.0,3.0
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,4,Q4B,no,gave_up,3.0,3.0
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,5,Q5B,no,gave_up,3.0,3.1
P25,other_non_ml,none,none,lt2,en,alpha_first,vera,B,6,Q6B,no,gave_up,2.0,2.5
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,1,Q1A,no,wrong,38.0,38.4
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,2,Q2A,yes,correct,55.0,55.5
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,3,Q3A,yes,correct,50.0,50.6
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,4,Q4A,yes,correct,37.0,37.3
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,5,Q5A,yes,correct,12.0,12.2
P26,ai_researcher,builder,working,lt2,en,beta_first,vera,A,6,Q6A,yes,unverified,34.0,34.2
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,1,Q1B,yes,correct,241.0,241.3
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,2,Q2B,yes,correct,59.0,59.2
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,3,Q3B,no,wrong,43.0,43.7
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,4,Q4B,yes,correct,54.0,53.8
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,5,Q5B,yes,correct,108.0,108.2
P26,ai_researcher,builder,working,lt2,en,beta_first,baseline,B,6,Q6B,yes,unverified,72.0,71.8
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,1,Q1A,no,wrong,14.0,14.0
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,2,Q2A,yes,correct,24.0,24.6
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,3,Q3A,yes,correct,49.0,49.0
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,4,Q4A,yes,correct,14.0,13.7
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,5,Q5A,no,wrong,84.0,83.9
P27,ai_researcher,builder,heard,lt2,en,alpha_first,baseline,A,6,Q6A,yes,unverified,23.0,22.9
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,1,Q1B,yes,correct,31.0,31.0
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,2,Q2B,yes,correct,24.0,24.5
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,3,Q3B,yes,correct,32.0,32.5
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,4,Q4B,no,wrong,29.0,29.3
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,5,Q5B,yes,correct,55.0,55.5
P27,ai_researcher,builder,heard,lt2,en,alpha_first,vera,B,6,Q6B,yes,unverified,22.0,22.0
