participant,role,ai_experience,aiact_familiarity,seniority,locale,tasks_submitted,item,value,comment
P4,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P4,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P4,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P4,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P5,ai_researcher,builder,heard,lt2,en,0,PU1,,
P5,ai_researcher,builder,heard,lt2,en,0,PU2,,
P5,ai_researcher,builder,heard,lt2,en,0,PU3,,
P5,ai_researcher,builder,heard,lt2,en,0,PU4,,
P5,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P5,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P5,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P5,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P6,ai_researcher,builder,heard,lt2,en,0,PU1,,
P6,ai_researcher,builder,heard,lt2,en,0,PU2,,
P6,ai_researcher,builder,heard,lt2,en,0,PU3,,
P6,ai_researcher,builder,heard,lt2,en,0,PU4,,
P6,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P6,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P6,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P6,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P7,ai_researcher,builder,heard,lt2,en,0,PU1,,
P7,ai_researcher,builder,heard,lt2,en,0,PU2,,
P7,ai_researcher,builder,heard,lt2,en,0,PU3,,
P7,ai_researcher,builder,heard,lt2,en,0,PU4,,
P7,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P7,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P7,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P7,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P8,ai_researcher,builder,heard,lt2,en,0,PU1,,
P8,ai_researcher,builder,heard,lt2,en,0,PU2,,
P8,ai_researcher,builder,heard,lt2,en,0,PU3,,
P8,ai_researcher,builder,heard,lt2,en,0,PU4,,
P8,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P8,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P8,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P8,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P9,ai_researcher,builder,heard,lt2,en,0,PU1,,
P9,ai_researcher,builder,heard,lt2,en,0,PU2,,
P9,ai_researcher,builder,heard,lt2,en,0,PU3,,
P9,ai_researcher,builder,heard,lt2,en,0,PU4,,
P9,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P9,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P9,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P9,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P10,ai_researcher,builder,heard,lt2,en,0,PU1,,
P10,ai_researcher,builder,heard,lt2,en,0,PU2,,
P10,ai_researcher,builder,heard,lt2,en,0,PU3,,
P10,ai_researcher,builder,heard,lt2,en,0,PU4,,
P10,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P10,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P10,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P10,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P11,ai_researcher,builder,heard,lt2,en,0,PU1,,
P11,ai_researcher,builder,heard,lt2,en,0,PU2,,
P11,ai_researcher,builder,heard,lt2,en,0,PU3,,
P11,ai_researcher,builder,heard,lt2,en,0,PU4,,
P11,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P11,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P11,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P11,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P12,ai_researcher,builder,heard,lt2,en,0,PU1,,
P12,ai_researcher,builder,heard,lt2,en,0,PU2,,
P12,ai_researcher,builder,heard,lt2,en,0,PU3,,
P12,ai_researcher,builder,heard,lt2,en,0,PU4,,
P12,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P12,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P12,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P12,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P13,ai_researcher,builder,heard,lt2,en,0,PU1,,
P13,ai_researcher,builder,heard,lt2,en,0,PU2,,
P13,ai_researcher,builder,heard,lt2,en,0,PU3,,
P13,ai_researcher,builder,heard,lt2,en,0,PU4,,
P13,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P13,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P13,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P13,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P14,ai_researcher,builder,heard,lt2,en,0,PU1,,
P14,ai_researcher,builder,heard,lt2,en,0,PU2,,
P14,ai_researcher,builder,heard,lt2,en,0,PU3,,
P14,ai_researcher,builder,heard,lt2,en,0,PU4,,
P14,ai_researcher,builder,heard,lt2,en,0,PEOU1,,
P14,ai_researcher,builder,heard,lt2,en,0,PEOU2,,
P14,ai_researcher,builder,heard,lt2,en,0,PEOU3,,
P14,ai_researcher,builder,heard,lt2,en,0,PEOU4,,
P15,ai_researcher,builder,heard,lt2,en,13,PU1,3,
P15,ai_researcher,builder,heard,lt2,en,13,PU2,2,
P15,ai_researcher,builder,heard,lt2,en,13,PU3,3,
P15,ai_researcher,builder,heard,lt2,en,13,PU4,4,
P15,ai_researcher,builder,heard,lt2,en,13,PEOU1,4,
P15,ai_researcher,builder,heard,lt2,en,13,PEOU2,3,
P15,ai_researcher,builder,heard,lt2,en,13,PEOU3,4,
P15,ai_researcher,builder,heard,lt2,en,13,PEOU4,4,
P16,ai_researcher,builder,working,lt2,en,13,PU1,5,
P16,ai_researcher,builder,working,lt2,en,13,PU2,5,
P16,ai_researcher,builder,working,lt2,en,13,PU3,3,
P16,ai_researcher,builder,working,lt2,en,13,PU4,4,
P16,ai_researcher,builder,working,lt2,en,13,PEOU1,4,
P16,ai_researcher,builder,working,lt2,en,13,PEOU2,4,
P16,ai_researcher,builder,working,lt2,en,13,PEOU3,5,
P16,ai_researcher,builder,working,lt2,en,13,PEOU4,4,
P17,ai_researcher,builder,heard,lt2,en,13,PU1,5,
P17,ai_researcher,builder,heard,lt2,en,13,PU2,5,
P17,ai_researcher,builder,heard,lt2,en,13,PU3,5,
P17,ai_researcher,builder,heard,lt2,en,13,PU4,5,
P17,ai_researcher,builder,heard,lt2,en,13,PEOU1,5,
P17,ai_researcher,builder,heard,lt2,en,13,PEOU2,5,
P17,ai_researcher,builder,heard,lt2,en,13,PEOU3,5,
P17,ai_researcher,builder,heard,lt2,en,13,PEOU4,5,
P18,ai_researcher,builder,working,lt2,en,1,PU1,,
P18,ai_researcher,builder,working,lt2,en,1,PU2,,
P18,ai_researcher,builder,working,lt2,en,1,PU3,,
P18,ai_researcher,builder,working,lt2,en,1,PU4,,
P18,ai_researcher,builder,working,lt2,en,1,PEOU1,,
P18,ai_researcher,builder,working,lt2,en,1,PEOU2,,
P18,ai_researcher,builder,working,lt2,en,1,PEOU3,,
P18,ai_researcher,builder,working,lt2,en,1,PEOU4,,
P19,ai_researcher,reviewer,heard,lt2,en,13,PU1,5,
P19,ai_researcher,reviewer,heard,lt2,en,13,PU2,5,
P19,ai_researcher,reviewer,heard,lt2,en,13,PU3,5,
P19,ai_researcher,reviewer,heard,lt2,en,13,PU4,5,
P19,ai_researcher,reviewer,heard,lt2,en,13,PEOU1,4,
P19,ai_researcher,reviewer,heard,lt2,en,13,PEOU2,4,
P19,ai_researcher,reviewer,heard,lt2,en,13,PEOU3,5,
P19,ai_researcher,reviewer,heard,lt2,en,13,PEOU4,1,
P20,ai_researcher,builder,working,2to5,en,6,PU1,,
P20,ai_researcher,builder,working,2to5,en,6,PU2,,
P20,ai_researcher,builder,working,2to5,en,6,PU3,,
P20,ai_researcher,builder,working,2to5,en,6,PU4,,
P20,ai_researcher,builder,working,2to5,en,6,PEOU1,,
P20,ai_researcher,builder,working,2to5,en,6,PEOU2,,
P20,ai_researcher,builder,working,2to5,en,6,PEOU3,,
P20,ai_researcher,builder,working,2to5,en,6,PEOU4,,
P21,ai_researcher,builder,heard,2to5,en,13,PU1,3,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PU2,4,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PU3,3,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PU4,4,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PEOU1,5,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PEOU2,4,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PEOU3,4,"keep the good work going guys, champions <3"
P21,ai_researcher,builder,heard,2to5,en,13,PEOU4,4,"keep the good work going guys, champions <3"
P22,ai_researcher,user,none,lt2,en,0,PU1,,
P22,ai_researcher,user,none,lt2,en,0,PU2,,
P22,ai_researcher,user,none,lt2,en,0,PU3,,
P22,ai_researcher,user,none,lt2,en,0,PU4,,
P22,ai_researcher,user,none,lt2,en,0,PEOU1,,
P22,ai_researcher,user,none,lt2,en,0,PEOU2,,
P22,ai_researcher,user,none,lt2,en,0,PEOU3,,
P22,ai_researcher,user,none,lt2,en,0,PEOU4,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PU1,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PU2,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PU3,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PU4,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PEOU1,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PEOU2,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PEOU3,,
P23,ai_researcher,reviewer,heard,6to10,en,0,PEOU4,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PU1,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PU2,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PU3,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PU4,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PEOU1,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PEOU2,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PEOU3,,
P24,ai_researcher,reviewer,heard,6to10,en,6,PEOU4,,
P25,other_non_ml,none,none,lt2,en,13,PU1,4,
P25,other_non_ml,none,none,lt2,en,13,PU2,4,
P25,other_non_ml,none,none,lt2,en,13,PU3,4,
P25,other_non_ml,none,none,lt2,en,13,PU4,4,
P25,other_non_ml,none,none,lt2,en,13,PEOU1,4,
P25,other_non_ml,none,none,lt2,en,13,PEOU2,4,
P25,other_non_ml,none,none,lt2,en,13,PEOU3,4,
P25,other_non_ml,none,none,lt2,en,13,PEOU4,4,
P26,ai_researcher,builder,working,lt2,en,12,PU1,,
P26,ai_researcher,builder,working,lt2,en,12,PU2,,
P26,ai_researcher,builder,working,lt2,en,12,PU3,,
P26,ai_researcher,builder,working,lt2,en,12,PU4,,
P26,ai_researcher,builder,working,lt2,en,12,PEOU1,,
P26,ai_researcher,builder,working,lt2,en,12,PEOU2,,
P26,ai_researcher,builder,working,lt2,en,12,PEOU3,,
P26,ai_researcher,builder,working,lt2,en,12,PEOU4,,
P27,ai_researcher,builder,heard,lt2,en,13,PU1,5,
P27,ai_researcher,builder,heard,lt2,en,13,PU2,5,
P27,ai_researcher,builder,heard,lt2,en,13,PU3,5,
P27,ai_researcher,builder,heard,lt2,en,13,PU4,5,
P27,ai_researcher,builder,heard,lt2,en,13,PEOU1,4,
P27,ai_researcher,builder,heard,lt2,en,13,PEOU2,5,
P27,ai_researcher,builder,heard,lt2,en,13,PEOU3,5,
P27,ai_researcher,builder,heard,lt2,en,13,PEOU4,5,
